,abr,issn
0,modphyslett,"02177323, 17936632"
1,jgeomphys,03930440
2,nuclphys,03759474
3,physrev,"24699934, 24699926"
4,intjmodphys,"0217751X, 1793656X"
5,jmathphys,"10897658, 00222488"
6,physlett,00319163
7,genrelgrav,"00017701, 15729532"
8,communmathphys,"14320916, 00103616"
9,physrevlett,"10797114, 00319007"
10,theormathphys,"15739333, 00405779"
11,classquantgrav,"13616382, 02649381"
12,zphys,"09397922, 14315858"
13,lettmathphys,"03779017, 15730530"
14,progtheorphyssuppl,03759687
15,jphys,"00223727, 13616463"
16,progtheorphys,20503911
17,computphyscommun,00104655
18,advmath,"10902082, 00018708"
19,czechjphys,"00114626, 15729486"
20,annalsphys,"00034916, 1096035X"
21,europhyslett,"02955075, 12864854"
22,physrept,03701573
23,dukemathj,"15477398, 00127094"
24,annphys,"00034916, 1096035X"
25,pacificjmath,00308730
26,intjtheorphys,"15729575, 00207748"
27,annalespoincarephystheor,"14240637, 14240661"
28,jstatistphys,"00224715, 15729613"
29,nuclphysprocsuppl,05503213
30,astropartphys,09276505
31,progmath,"07431643, 2296505X"
32,jmathsci,"10723374, 15738795"
33,zapnauchnsemin,03732703
34,actaphyspolon,05874254
35,physreva,24699934
36,physusp,"10637869, 14684780"
37,jgeomandphys,03930440
38,fortschrphys,"15213978, 00158208"
39,physatomnucl,"10637788, 1562692X"
40,yadfiz,00440027
41,jkoreanphyssoc,"19768524, 03744884"
42,chinjphys,05779073
43,fortschphys,"15213978, 00158208"
44,alganal,02340852
45,stpetersburgmathj,"10610022, 15477371"
46,lettersinmathphysics,"03779017, 15730530"
47,communtheorphys,02536102
48,procroysoclond,"00804630, 09628444, 13645021"
49,russphysj,"15739228, 10648887"
50,pismazhekspteorfiz,"10637761, 10906509"
51,bullaustralmathsoc,00049727
52,communanalgeom,10198385
53,jknottheorramifications,02182165
54,zeitschrfphysc,"09397922, 14315858"
55,jstatphys,"00224715, 15729613"
56,annalsofphysics,"00034916, 1096035X"
57,procsteklovinstmath,"00815438, 15318605"
58,transamermathsoc,"00029947, 10886850"
59,foundphys,"15729516, 00159018"
60,intjourmodphysa,"0217751X, 1793656X"
61,amjphys,00029505
62,romjphys,1221146X
63,physlettb,"02179849, 17936640"
64,intjournmodphysb,"02179792, 17936578"
65,physletta,"02177323, 17936632"
66,physscripta,00318949
67,intjournmodphysa9,"0217751X, 1793656X"
68,annalenphys,"00033804, 15213889"
69,jdiffgeom,"0022040X, 1945743X"
70,jgrouptheorphys,15254674
71,mathreslett,10732780
72,revmathphys,"17936659, 0129055X"
73,jpureapplalgebra,00224049
74,rivnuovocim,0393697X
75,intjourtheorphys,"15729575, 00207748"
76,advapplmath,"01968858, 10902074"
77,mathjap,02892316
78,mathproccambphilsoc,"03050041, 14698064"
79,australjphys,"00049506, 14465582"
80,comptrendacadsci(serimath),13101331
81,physica,"15739228, 10648887"
82,fizika,"15739228, 10648887"
83,russianjmathphys,"15556638, 10619208"
84,internatmathresearch,"10737928, 16870247"
85,jexptheorphys,"10637761, 10906509"
86,zhekspteorfiz,"10637761, 10906509"
87,revmexfissuppl,0035001X
88,russmathsurveys,"00360279, 14684829"
89,pramana-jphys,"03044289, 09737111"
90,advapplcliffordalgebras,01887009
91,revmexfis,0035001X
92,turkjphys,"13036122, 13000101"
93,lectnotesphys,00758450
