,idx,impact,h_index,quartile
0,9208008,"1,57",152,Q1
1,9202022,1,1,Q4
2,9206105,"0,93",119,Q2
3,9210128,1,1,Q4
4,9209115,"1,08",88,Q2
5,9204077,"1,57",152,Q1
6,9209070,"2,50",283,-
7,9206083,1,1,Q4
8,9209040,1,1,Q4
9,9207029,"1,18",108,Q1
10,9202036,"1,57",152,Q1
11,9212012,1,1,Q4
12,9211033,1,1,Q4
13,9205106,1,1,Q4
14,9211139,"1,18",108,Q1
15,9206057,1,1,Q4
16,9201045,"5,76",673,Q1
17,9202013,"1,08",88,Q2
18,9207105,"2,07",174,Q1
19,9211109,"1,57",152,Q1
20,9201027,1,1,Q4
21,9203034,1,1,Q4
22,9210052,"1,57",152,Q1
23,9207082,"2,50",283,-
24,9204004,"1,69",116,Q1
25,9206024,"0,73",62,Q2
26,9201044,1,1,Q4
27,9212037,"2,07",174,Q1
28,9203003,1,1,Q4
29,9207017,"5,47",297,Q1
30,9210054,1,1,Q4
31,9208024,"2,07",174,Q1
32,9206096,"2,07",174,Q1
33,9212075,"2,07",174,Q1
34,9207087,1,1,Q4
35,9202045,1,1,Q4
36,9201071,1,1,Q4
37,9203076,"1,18",108,Q1
38,9203046,1,1,Q4
39,9211027,1,1,Q4
40,9208021,1,1,Q4
41,9210034,1,1,Q4
42,9206047,"1,18",108,Q1
43,9201070,1,1,Q4
44,9207045,1,1,Q4
45,9211043,1,1,Q4
46,9207019,"1,57",152,Q1
47,9212062,1,1,Q4
48,9203059,"2,50",283,-
49,9206027,"2,07",174,Q1
50,9203038,1,1,Q4
51,9204002,"2,07",174,Q1
52,9202077,"2,50",283,-
53,9204048,1,1,Q4
54,9206005,"1,57",152,Q1
55,9212042,1,1,Q4
56,9209099,"0,46",65,Q3
57,9204041,"2,07",174,Q1
58,9212078,1,1,Q4
59,9209111,1,1,Q4
60,9202057,"5,76",673,Q1
61,9211022,1,1,Q4
62,9212039,1,1,Q4
63,9202059,"2,07",174,Q1
64,9209127,1,1,Q4
65,9211010,1,1,Q4
66,9212029,"2,07",174,Q1
67,9210143,1,1,Q4
68,9209051,1,1,Q4
69,9205098,"1,74",189,Q1
70,9203055,"2,50",283,-
71,9205054,"1,18",108,Q1
72,9209080,1,1,Q4
73,9209064,"1,08",88,Q2
74,9207021,1,1,Q4
75,9211021,"2,57",120,Q2
76,9205036,1,1,Q4
77,9207078,"1,18",108,Q1
78,9204060,"2,07",174,Q1
79,9204075,"1,18",108,Q1
80,9209050,"0,37",45,Q4
81,9204013,"1,18",108,Q1
82,9206001,"1,09",198,Q1
83,9202082,1,1,Q4
84,9205080,1,1,Q4
85,9211087,1,1,Q4
86,9206106,1,1,Q4
87,9211096,"1,18",108,Q1
88,9202010,"1,18",108,Q1
89,9207024,"2,07",174,Q1
90,9202014,"2,07",174,Q1
91,9203075,"1,08",88,Q2
92,9206003,1,1,Q4
